"","Characteristics","Total","English","French","English.and.French"
"Algoma","  Non-permanent residents",395,255,0,0
"Brant","  Non-permanent residents",375,150,0,0
"Bruce","  Non-permanent residents",105,85,0,0
"Chatham-Kent","  Non-permanent residents",415,250,0,0
"Cochrane","  Non-permanent residents",70,15,10,15
"Dufferin","  Non-permanent residents",160,130,0,0
"Durham","  Non-permanent residents",1855,905,70,0
"Elgin","  Non-permanent residents",495,210,0,0
"Essex","  Non-permanent residents",5750,1575,45,10
"Frontenac","  Non-permanent residents",1045,350,60,0
"Greater Sudbury","  Non-permanent residents",390,115,15,0
"Grey","  Non-permanent residents",195,145,10,0
"Haldimand-Norfolk","  Non-permanent residents",385,240,0,0
"Haliburton","  Non-permanent residents",25,20,0,0
"Halton","  Non-permanent residents",3155,1720,40,0
"Hamilton","  Non-permanent residents",4595,1055,70,10
"Hastings","  Non-permanent residents",440,215,0,0
"Huron","  Non-permanent residents",235,175,0,0
"Kawartha Lakes","  Non-permanent residents",95,85,0,0
"Kenora","  Non-permanent residents",225,150,0,0
"Lambton","  Non-permanent residents",360,215,0,0
"Lanark","  Non-permanent residents",75,65,0,0
"Leeds and Grenville","  Non-permanent residents",165,115,0,0
"Lennox and Addington","  Non-permanent residents",20,10,0,0
"Manitoulin","  Non-permanent residents",0,0,0,0
"Middlesex","  Non-permanent residents",4190,955,65,0
"Muskoka","  Non-permanent residents",200,135,0,0
"Niagara","  Non-permanent residents",3270,1040,40,0
"Nipissing","  Non-permanent residents",185,160,0,0
"Northumberland","  Non-permanent residents",115,90,0,0
"Ottawa","  Non-permanent residents",7890,1825,590,25
"Oxford","  Non-permanent residents",205,60,0,0
"Parry Sound","  Non-permanent residents",80,45,0,0
"Peel","  Non-permanent residents",10950,2855,125,20
"Perth","  Non-permanent residents",95,70,0,0
"Peterborough","  Non-permanent residents",540,285,0,0
"Prescott and Russell","  Non-permanent residents",80,25,10,0
"Prince Edward","  Non-permanent residents",55,25,0,0
"Rainy River","  Non-permanent residents",50,45,0,0
"Renfrew","  Non-permanent residents",120,65,0,0
"Simcoe","  Non-permanent residents",1610,620,0,0
"Stormont, Dundas and Glengarry","  Non-permanent residents",180,95,0,0
"Sudbury","  Non-permanent residents",10,10,0,0
"Thunder Bay","  Non-permanent residents",390,240,0,0
"Timiskaming","  Non-permanent residents",35,30,10,0
"Toronto","  Non-permanent residents",54610,12875,1035,75
"Waterloo","  Non-permanent residents",4090,1020,60,0
"Wellington","  Non-permanent residents",1010,290,10,0
"York","  Non-permanent residents",7175,1695,35,10
